Team,背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
広,18,前田　健太,2.46,31,10,12,0,0,.455,864,216.0,178,14,43,6,192,61,59,1.02,2.87
広,42,バリントン,2.42,30,13,11,0,0,.542,832,204.1,183,8,43,18,136,61,55,1.11,3.15
広,11,福井　優也,4.12,27,8,10,0,0,.444,640,146.1,133,14,68,8,120,76,67,1.37,4.28
広,91,ジオ,2.72,18,3,7,0,0,.300,417,99.1,82,5,34,7,88,33,30,1.17,3.18
広,16,今村　猛,4.69,54,3,8,2,13,.273,399,94.0,97,10,30,1,76,50,49,1.35,3.78
広,14,篠田　純平,4.13,17,5,7,0,0,.417,395,93.2,94,8,28,0,49,50,43,1.30,4.08
広,58,サファテ,1.34,57,1,3,35,1,.250,232,60.2,40,2,16,0,82,10,9,0.92,1.49
広,47,青木　高広,3.27,76,2,4,0,20,.333,231,55.0,50,4,21,3,39,21,20,1.29,3.63
広,48,岸本　秀樹,4.17,42,3,2,0,10,.600,193,45.1,38,1,19,4,46,21,21,1.26,2.70
広,17,大竹　寛,1.71,6,1,1,0,0,.500,129,31.2,28,1,7,0,15,7,6,1.11,3.15
広,62,今井　啓介,2.97,11,1,2,0,0,.333,134,30.1,34,0,7,3,22,11,10,1.35,2.66
広,19,上野　弘文,5.53,31,2,2,0,4,.500,128,27.2,32,3,11,2,19,17,17,1.55,4.35
広,33,豊田　清,3.08,32,2,1,0,7,.667,104,26.1,27,3,1,0,20,9,9,1.06,3.20
広,99,ソリアーノ,3.65,8,1,1,0,0,.500,101,24.2,15,3,10,0,12,11,10,1.01,4.94
広,20,永川　勝浩,5.16,19,1,2,0,0,.333,99,22.2,25,3,8,0,22,14,13,1.46,3.83
広,39,梅津　智弘,2.70,23,3,1,0,4,.750,82,20.0,21,1,3,3,11,6,6,1.20,3.42
広,70,シュルツ,1.06,19,0,0,0,9,.000,82,17.0,22,1,11,1,7,7,2,1.94,5.18
広,22,中村　恭平,4.05,3,0,2,0,0,.000,57,13.1,12,0,7,0,4,6,6,1.43,4.10
広,28,岩見　優輝,5.11,8,1,0,0,0,1.000,64,12.1,16,2,11,2,11,7,7,2.19,6.61
広,46,大島　崇行,1.64,7,0,0,0,1,.000,46,11.0,10,0,3,1,8,2,2,1.18,2.76
広,34,中田　廉,6.43,2,0,0,0,0,.000,36,7.0,10,0,3,0,4,6,5,1.86,3.26
広,69,弦本　悠希,4.50,4,0,0,0,0,.000,22,4.0,5,0,4,1,0,4,2,2.25,6.87
広,36,菊地原　毅,2.45,5,0,0,0,0,.000,15,3.2,2,0,1,1,1,1,1,0.82,4.21
広,53,林　昌樹,0.00,2,0,0,0,0,.000,7,2.1,0,0,0,0,5,0,0,0.00,-1.17
広,23,横山　竜士,45.00,2,0,0,0,0,.000,8,1.0,3,0,2,0,1,5,5,5.00,7.12
広,65,相澤　寿聡,0.00,2,0,0,0,0,.000,5,1.0,3,0,1,0,0,0,0,4.00,6.12
