Team,背番号,選手名,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,長打率,出塁率
広,2,東出　輝裕,.294,142,625,558,71,164,16,8,0,196,26,14,7,19,3,44,3,1,39,5,.351,.345
広,5,栗原　健太,.257,140,582,521,68,134,21,0,23,224,79,1,6,0,2,48,1,7,82,11,.430,.327
広,38,赤松　真人,.232,137,489,423,58,98,15,3,6,137,43,14,7,25,5,33,0,3,79,3,.324,.289
広,90,マクレーン,.244,114,447,401,43,98,18,0,18,170,52,1,2,0,1,43,1,2,107,8,.424,.320
広,31,石原　慶幸,.206,124,422,364,31,75,15,1,10,122,37,2,3,11,4,39,4,4,90,11,.335,.287
広,49,天谷　宗一郎,.300,94,361,317,35,95,14,7,5,138,41,12,10,6,5,31,0,2,62,4,.435,.361
広,22,フィリップス,.265,74,301,264,35,70,15,1,15,132,50,0,0,0,5,27,0,5,48,7,.500,.339
広,6,梵　英心,.224,73,264,241,28,54,9,4,2,77,19,14,3,3,1,18,1,1,37,4,.320,.280
広,25,石井　琢朗,.227,89,246,211,27,48,10,3,2,70,18,2,0,11,0,20,0,4,33,4,.332,.306
広,26,廣瀬　純,.277,94,213,195,18,54,9,1,5,80,22,1,3,4,4,7,0,3,32,3,.410,.306
広,12,小窪　哲也,.295,70,209,183,25,54,11,0,2,71,16,2,1,4,0,20,1,2,33,2,.388,.371
広,55,嶋　重宣,.229,89,198,175,12,40,9,0,2,55,17,3,1,0,5,15,2,3,34,7,.314,.293
広,51,末永　真史,.279,73,170,154,23,43,8,1,2,59,19,3,1,0,0,15,0,1,48,1,.383,.347
広,57,シーボル,.213,40,142,127,9,27,3,1,4,44,11,1,1,0,2,10,0,3,32,2,.346,.282
広,44,喜田　剛,.254,78,134,126,8,32,12,0,2,50,20,0,1,0,0,6,0,2,30,0,.397,.299
広,40,倉　義和,.190,43,106,100,4,19,2,0,0,21,7,0,0,2,1,2,0,1,17,6,.210,.212
広,9,緒方　孝市,.184,53,60,49,2,9,1,1,0,12,7,2,0,0,1,9,0,1,2,0,.245,.317
広,10,岩本　貴裕,.152,14,33,33,1,5,1,0,0,6,1,0,0,0,0,0,0,0,12,0,.182,.152
広,64,會澤　翼,.214,15,31,28,3,6,1,0,0,7,1,0,0,0,0,3,1,0,8,1,.250,.290
広,66,木村　昇吾,.231,69,15,13,15,3,1,0,0,4,1,4,4,1,0,0,0,1,7,0,.308,.286
広,33,鞘師　智也,.400,2,5,5,2,2,2,0,0,4,0,0,0,0,0,0,0,0,1,0,.800,.400
広,45,松本　高明,.000,7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000
広,0,井生　崇光,.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000
広,59,山本　芳彦,.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000
広,35,中東　直瑛,.000,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000
広,27,上村　和裕,1.000,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000
広,4,尾形　佳紀,.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000
広,61,山本　翔,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,00,田中　彰,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,52,比嘉　寿光,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,60,安部　友裕,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,50,鈴木　将光,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,1,前田　智徳,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,63,丸　佳浩,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,68,申　成鉉,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,54,吉田　圭,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,56,中谷　翼,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,37,松山　竜平,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,32,白濱　裕太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,6,坂本　勇人,.306,141,640,581,87,178,33,3,18,271,62,5,3,7,4,44,3,4,101,8,.466,.357
巨,5,ラミレス,.322,144,608,577,66,186,35,0,31,314,103,4,3,0,6,21,4,4,88,12,.544,.347
巨,2,小笠原　道大,.309,139,580,514,78,159,25,1,31,279,107,2,1,0,2,60,2,4,107,8,.543,.384
巨,9,亀井　義行,.290,134,547,490,79,142,25,4,25,250,71,12,7,4,3,45,3,5,74,7,.510,.354
巨,10,阿部　慎之助,.293,123,462,409,63,120,20,2,32,240,76,1,1,2,7,34,0,10,87,9,.587,.357
巨,64,松本　哲也,.293,129,424,372,55,109,11,1,0,122,15,16,9,27,0,21,0,4,59,8,.328,.338
巨,8,谷　佳知,.331,101,316,287,35,95,23,1,11,153,48,3,1,3,1,22,1,3,44,4,.533,.383
巨,25,李　承ヨプ,.229,77,257,223,33,51,9,0,16,108,36,1,2,0,1,28,4,5,65,1,.484,.327
巨,23,脇谷　亮太,.268,89,245,231,26,62,7,2,2,79,16,5,3,1,0,10,1,3,52,0,.342,.307
巨,12,鈴木　尚広,.262,122,220,202,40,53,5,1,1,63,8,25,7,2,0,13,0,3,44,1,.312,.317
巨,0,木村　拓也,.231,86,210,186,17,43,8,0,2,57,16,1,0,8,2,12,0,2,38,2,.306,.282
巨,51,古城　茂幸,.251,77,204,179,14,45,5,1,2,58,18,3,3,3,2,10,2,10,39,2,.324,.323
巨,43,鶴岡　一成,.261,59,160,142,17,37,10,0,5,62,18,1,0,8,1,8,3,1,30,4,.437,.303
巨,00,寺内　崇幸,.167,78,92,84,7,14,2,0,1,19,1,2,0,4,0,2,0,2,22,2,.226,.205
巨,35,工藤　隆人,.255,49,56,51,12,13,2,1,0,17,1,1,0,2,0,2,0,1,18,0,.333,.296
巨,13,アルフォンゾ,.146,21,46,41,3,6,0,0,2,12,4,0,0,0,1,4,0,0,10,1,.293,.217
巨,44,大道　典嘉,.257,37,38,35,1,9,1,0,0,10,3,0,0,1,0,2,0,0,9,1,.286,.297
巨,61,中井　大介,.233,18,33,30,2,7,2,0,1,12,6,2,0,2,1,0,0,0,11,0,.400,.226
巨,45,小田嶋　正邦,.190,10,21,21,1,4,0,0,1,7,3,0,0,0,0,0,0,0,5,0,.333,.190
巨,66,田中　大二郎,.083,5,14,12,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,.083,.214
巨,40,加藤　健,.200,12,13,10,2,2,1,0,0,3,0,0,0,0,0,1,0,2,3,0,.300,.385
巨,48,矢野　謙次,.111,6,9,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,.111,.111
巨,50,加治前　竜一,.000,14,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,.000,.000
巨,58,星　孝典,.000,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000
巨,69,隠善　智也,.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000
巨,32,円谷　英俊,.500,1,2,2,1,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,2.000,.500
巨,55,大田　泰示,.000,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000
巨,24,高橋　由伸,.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000
巨,52,岩舘　学,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000
巨,53,實松　一成,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
