Team,背番号,選手名,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,長打率,出塁率
広,2,東出　輝裕,.278,137,601,543,60,151,17,3,0,174,27,8,6,18,2,35,0,3,71,7,.320,.324
広,5,栗原　健太,.293,144,596,536,56,157,29,0,17,237,87,0,1,0,7,40,3,12,84,11,.442,.351
広,63,丸　佳浩,.241,131,495,435,48,105,16,4,9,156,50,9,6,9,1,44,1,6,105,2,.359,.319
広,66,木村　昇吾,.259,106,349,293,30,76,6,1,0,84,17,3,3,37,1,14,2,4,53,6,.287,.301
広,31,石原　慶幸,.201,110,342,299,15,60,10,0,4,82,27,2,2,14,3,22,3,4,49,7,.274,.262
広,26,廣瀬　純,.271,73,276,218,24,59,4,0,2,69,27,2,0,9,6,29,3,14,36,11,.317,.382
広,35,バーデン,.281,64,242,210,18,59,10,0,3,78,20,0,1,0,2,25,0,5,48,2,.371,.368
広,6,梵　英心,.214,52,232,192,34,41,7,2,2,58,11,8,4,14,1,23,0,2,34,2,.302,.303
広,38,赤松　真人,.260,80,217,192,25,50,9,0,1,62,18,19,4,15,2,4,0,4,29,1,.323,.287
広,37,松山　竜平,.270,68,204,196,15,53,6,1,3,70,19,0,1,0,0,8,0,0,20,5,.357,.299
広,10,岩本　貴裕,.223,60,193,179,12,40,7,1,3,58,15,0,1,3,3,8,0,0,43,4,.324,.253
広,49,天谷　宗一郎,.210,100,187,167,15,35,6,3,1,50,12,8,2,3,0,14,1,3,33,2,.299,.283
広,43,トレーシー,.235,40,164,149,10,35,12,0,1,50,19,0,0,0,2,11,0,2,34,7,.336,.293
広,4,小窪　哲也,.261,65,158,142,13,37,7,0,2,50,12,1,1,9,0,3,0,4,17,0,.352,.295
広,55,嶋　重宣,.256,54,141,125,13,32,9,1,2,49,8,1,0,0,1,14,0,1,19,1,.392,.333
広,40,倉　義和,.185,55,135,108,9,20,1,0,0,21,8,0,0,9,1,13,0,4,25,3,.194,.294
広,25,石井　琢朗,.250,61,106,92,11,23,2,2,1,32,4,0,0,2,0,12,1,0,13,1,.348,.337
