Team,背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
広,18,前田　健太,2.09,29,15,8,0,0,.652,821,206.1,168,5,41,6,175,49,48,1.01,2.41
広,42,ジョンソン,1.85,28,14,7,0,0,.667,773,194.1,146,5,67,2,150,43,40,1.10,2.98
広,15,黒田　博樹,2.55,26,11,8,0,0,.579,685,169.2,158,8,29,7,106,53,48,1.10,3.12
広,11,福井　優也,3.56,21,9,6,0,0,.600,541,131.1,106,10,53,5,99,53,52,1.21,3.93
広,14,大瀬良　大地,3.13,51,3,8,2,20,.273,475,109.1,111,5,31,1,97,53,38,1.30,2.82
広,19,野村　祐輔,4.64,15,5,8,0,0,.385,384,87.1,110,11,23,3,51,53,45,1.52,4.48
広,56,中崎　翔太,2.34,69,0,6,29,11,.000,300,73.0,65,4,23,1,61,20,19,1.21,3.15
広,53,戸田　隆矢,3.63,34,3,3,0,5,.500,273,62.0,59,4,29,0,44,31,25,1.42,3.94
広,70,ヒース,2.36,43,3,6,4,10,.333,205,49.2,43,3,19,0,59,14,13,1.25,2.62
広,30,一岡　竜司,4.14,38,2,4,1,7,.333,176,37.0,42,5,21,1,35,21,17,1.70,4.77
広,20,永川　勝浩,4.78,26,1,1,0,9,.500,119,26.1,27,2,14,3,27,14,14,1.56,3.99
広,16,今村　猛,3.46,21,1,1,0,1,.500,115,26.0,24,1,13,0,22,14,10,1.42,3.43
広,23,薮田　和樹,5.76,6,1,2,0,0,.333,120,25.0,25,3,20,2,18,16,16,1.80,5.88
広,62,今井　啓介,3.00,11,0,1,0,1,.000,71,18.0,16,2,2,1,11,7,6,1.00,3.84
広,39,飯田　哲矢,2.65,16,0,0,0,0,.000,72,17.0,12,1,10,0,11,6,5,1.29,4.36
広,12,九里　亜蓮,4.50,7,0,1,0,1,.000,75,16.0,19,3,7,1,10,10,8,1.63,5.81
広,58,ザガースキー,2.40,19,0,0,0,6,.000,66,15.0,13,1,7,0,16,5,4,1.33,3.25
広,29,江草　仁貴,2.25,7,0,0,0,0,.000,35,8.0,7,0,4,1,7,2,2,1.38,3.25
広,34,中田　廉,0.00,5,1,0,0,0,1.000,20,5.0,4,0,3,0,4,0,0,1.40,2.72
広,54,武内　久士,9.00,1,0,0,0,0,.000,21,4.0,7,0,2,0,1,4,4,2.25,4.12
広,22,中村　恭平,10.80,1,0,1,0,0,.000,18,3.1,7,1,1,0,3,5,4,2.40,6.12
広,48,西原　圭大,0.00,3,0,0,0,0,.000,11,2.1,3,0,0,1,3,0,0,1.29,1.83
広,24,河内　貴哉,27.00,1,0,0,0,0,.000,3,0.1,2,0,0,0,0,1,1,6.00,3.12
広,41,藤井　皓哉,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,98,佐藤　祥万,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,67,中村　祐太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
