Team,背番号,選手名,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,長打率,出塁率
広,33,菊池　涼介,.254,143,644,562,62,143,20,3,8,193,32,19,9,49,2,29,2,2,92,7,.343,.292
広,9,丸　佳浩,.249,143,633,530,81,132,28,1,19,219,63,15,7,4,4,94,2,1,143,4,.413,.361
広,63,田中　広輔,.274,141,590,543,61,149,33,9,8,224,45,6,7,5,1,34,2,7,105,8,.413,.325
広,28,新井　貴浩,.275,125,480,426,52,117,22,2,7,164,57,3,0,0,4,48,1,2,73,15,.385,.348
広,6,梵　英心,.237,96,332,283,24,67,15,1,6,102,27,2,2,10,2,36,0,1,49,6,.360,.323
広,55,エルドレッド,.227,79,300,264,32,60,6,0,19,123,54,1,2,0,4,31,0,1,91,3,.466,.307
広,27,會澤　翼,.246,93,290,252,23,62,7,3,6,93,30,0,1,2,3,26,3,7,49,9,.369,.330
広,57,シアーホルツ,.250,65,248,232,27,58,11,1,10,101,30,3,2,0,0,14,0,2,67,0,.435,.298
広,51,鈴木　誠也,.275,97,238,211,21,58,6,3,5,85,25,6,7,7,2,16,0,2,38,3,.403,.329
広,31,石原　慶幸,.241,83,238,216,15,52,6,0,2,64,12,1,0,8,0,14,2,0,42,10,.296,.287
広,44,松山　竜平,.277,100,229,202,14,56,13,0,7,90,26,1,1,0,3,23,0,1,30,8,.446,.349
広,37,野間　峻祥,.241,127,188,170,21,41,7,6,1,63,10,8,2,6,1,10,0,1,37,2,.371,.286
広,69,ロサリオ,.258,42,136,124,9,32,5,0,2,43,12,1,1,0,0,11,0,1,23,1,.347,.324
広,13,グスマン,.230,34,116,100,10,23,8,1,3,42,12,0,0,0,0,15,0,1,25,2,.420,.336
広,66,木村　昇吾,.269,72,109,93,14,25,4,2,0,33,8,2,0,8,3,5,0,0,22,1,.355,.297
広,4,小窪　哲也,.296,69,88,71,2,21,2,0,1,26,15,1,0,2,0,15,0,0,18,2,.366,.419
広,60,安部　友裕,.243,26,74,70,6,17,0,0,0,17,2,1,2,3,0,1,0,0,6,1,.243,.254
広,7,堂林　翔太,.261,33,73,69,5,18,2,0,0,20,3,1,0,1,0,3,0,0,16,1,.290,.292
広,49,天谷　宗一郎,.214,30,34,28,1,6,0,0,0,6,2,3,4,0,0,6,0,0,7,1,.214,.353
広,10,岩本　貴裕,.300,7,10,10,1,3,1,0,0,4,0,0,0,0,0,0,0,0,1,0,.400,.300
広,35,下水流　昂,.200,5,10,10,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,.200,.200
広,38,赤松　真人,.222,52,9,9,13,2,1,0,0,3,0,6,3,0,0,0,0,0,2,0,.333,.222
広,00,中東　直己,.000,9,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.000,.000
広,59,美間　優槻,.000,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000
広,61,磯村　嘉孝,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000
広,32,白濱　裕太,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000
広,40,倉　義和,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000
広,5,栗原　健太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,43,土生　翔平,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,45,桑原　樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,2,東出　輝裕,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,52,庄司　隼人,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,25,高橋　大樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,50,鈴木　将光,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,99,中村　憲,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
