Team,背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
横,19,藤江　均,3.26,52,3,5,1,21,.375,202,49.2,37,4,18,2,42,18,18,1.11,3.56
横,30,菊地　和正,2.37,63,3,2,1,14,.600,204,49.1,34,2,24,2,19,15,13,1.18,4.21
横,16,加賀　繁,2.86,61,0,2,0,26,.000,175,44.0,34,4,11,2,45,14,14,1.02,3.01
横,61,ジオ,3.92,8,1,6,0,0,.143,179,39.0,46,2,18,2,42,18,17,1.64,3.17
横,41,大原　慎司,1.80,33,1,0,0,5,1.000,143,35.0,31,2,15,0,20,7,7,1.31,3.75
横,46,田中　健二朗,4.67,15,0,2,0,0,.000,153,34.2,38,3,8,2,27,19,18,1.33,3.55
横,15,山本　省吾,4.46,6,1,4,0,0,.200,154,34.1,36,5,15,1,15,18,17,1.49,5.45
横,24,林　昌範,1.91,32,0,0,0,4,.000,132,33.0,26,2,12,0,26,7,7,1.15,3.33
横,54,小杉　陽太,5.01,17,1,0,0,0,1.000,139,32.1,34,1,9,4,26,19,18,1.33,3.03
横,66,王　溢正,8.88,6,0,4,0,0,.000,124,24.1,32,4,19,3,15,25,24,2.10,6.74
横,34,篠原　貴行,4.91,50,1,3,0,16,.250,105,22.0,25,2,12,3,12,14,12,1.68,4.98
横,38,ハミルトン,7.43,9,0,0,0,1,.000,59,13.1,16,2,5,0,8,11,11,1.58,4.77
横,20,須田　幸太,8.68,2,0,2,0,0,.000,45,9.1,12,1,7,0,7,9,9,2.04,5.26
横,49,福田　岳洋,9.72,5,0,0,0,0,.000,41,8.1,9,1,5,1,6,10,9,1.68,5.40
横,38,クレイマー,10.80,2,0,1,0,0,.000,48,8.1,17,2,6,0,5,10,10,2.76,7.20
横,60,佐藤　祥万,6.43,6,0,0,0,1,.000,31,7.0,9,1,3,0,4,5,5,1.71,5.12
横,35,牛田　成樹,6.43,5,0,0,0,0,.000,34,7.0,10,1,5,0,10,5,5,2.14,4.26
