Team,背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
広,18,前田　健太,3.36,29,8,14,0,0,.364,795,193.0,194,22,29,3,147,82,72,1.16,3.56
広,17,大竹　寛,2.81,29,10,8,0,0,.556,781,185.2,177,10,60,4,127,72,58,1.28,3.44
広,11,ルイス,2.96,29,11,9,0,1,.550,715,176.1,156,13,19,14,186,68,58,0.99,2.53
広,21,齊藤　悠葵,3.99,27,9,11,0,0,.450,582,133.0,140,14,48,3,71,69,59,1.41,4.55
広,70,シュルツ,2.28,73,5,3,1,35,.625,298,75.0,57,0,22,0,72,19,19,1.05,2.08
広,47,青木　高広,4.74,29,2,3,0,0,.400,307,74.0,76,10,16,2,50,40,39,1.24,4.17
広,23,横山　竜士,3.52,69,3,8,0,31,.273,270,64.0,57,5,26,2,56,27,25,1.30,3.65
広,41,小松　剛,5.25,25,5,3,0,0,.625,271,60.0,75,9,19,4,41,37,35,1.57,4.75
広,20,永川　勝浩,2.73,56,3,6,36,3,.333,241,56.0,53,3,21,1,48,20,17,1.32,3.12
広,53,林　昌樹,4.28,46,0,2,0,5,.000,220,48.1,55,5,19,4,27,28,23,1.53,4.59
広,62,今井　啓介,3.74,9,1,3,0,0,.250,186,45.2,38,4,15,1,28,20,19,1.16,4.02
広,14,篠田　純平,1.82,13,2,1,0,1,.667,153,39.2,29,3,8,0,29,8,8,0.93,3.25
広,42,長谷川　昌幸,3.94,10,3,1,0,0,.750,146,32.0,35,4,17,0,24,15,14,1.63,4.84
広,39,梅津　智弘,1.82,26,2,1,0,9,.667,94,24.2,17,1,4,0,16,6,5,0.85,2.71
広,36,青木　勇人,3.80,29,0,0,0,4,.000,99,23.2,25,3,4,1,10,10,10,1.23,4.30
広,13,牧野　塁,4.22,14,0,2,0,0,.000,87,21.1,18,5,5,1,13,10,10,1.08,5.79
広,46,大島　崇行,12.10,7,0,0,0,0,.000,47,9.2,15,4,1,1,9,14,13,1.66,7.26
広,43,ドーマン,17.28,9,0,0,0,0,.000,47,8.1,14,1,7,3,4,16,16,2.52,7.32
広,19,上野　弘文,7.04,8,0,0,0,0,.000,36,7.2,13,1,1,0,3,6,6,1.83,4.42
広,30,森　跳二,16.20,3,1,0,0,0,1.000,12,1.2,6,0,0,1,0,5,3,3.60,4.92
広,67,コズロースキー,54.00,1,0,0,0,0,.000,5,0.1,3,0,0,1,0,3,2,9.00,12.12
広,16,宮崎　充登,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,24,河内　貴哉,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,65,相澤　寿聡,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,58,小島　心二郎,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,29,佐藤　剛士,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,28,広池　浩司,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,34,中田　廉,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,48,岸本　秀樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,69,中村　憲,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,26,内海　哲也,2.96,27,9,11,0,0,.450,730,179.2,161,23,36,4,115,66,59,1.10,4.17
巨,49,ゴンザレス,2.11,23,15,2,0,0,.882,643,162.0,134,11,25,7,113,42,38,0.98,3.20
巨,29,グライシンガー,3.47,25,13,6,0,0,.684,675,161.0,173,11,26,5,91,77,62,1.24,3.46
巨,17,東野　峻,3.17,27,8,8,0,0,.500,652,153.1,133,18,57,13,133,61,54,1.24,4.26
巨,21,高橋　尚成,2.94,25,10,6,0,0,.625,610,144.0,147,16,36,6,126,58,47,1.27,3.67
巨,47,山口　鉄也,1.27,73,9,1,4,35,.900,292,78.0,53,1,14,5,62,12,11,0.86,2.39
巨,22,越智　大祐,3.30,66,8,3,10,24,.727,294,71.0,63,6,22,2,70,28,26,1.20,3.18
巨,91,オビスポ,2.45,14,6,1,0,1,.857,233,58.2,44,7,11,4,48,16,16,0.94,3.80
巨,42,クルーン,1.26,46,1,3,27,1,.250,206,50.0,36,1,19,2,57,10,7,1.10,2.36
巨,59,福田　聡志,3.48,9,2,0,0,0,1.000,185,44.0,41,6,17,3,31,24,17,1.32,4.71
巨,20,豊田　清,1.99,46,2,2,5,15,.500,172,40.2,35,3,15,1,32,13,9,1.23,3.32
巨,92,木村　正太,3.38,25,0,0,0,3,.000,118,29.1,23,2,12,0,23,13,11,1.19,3.56
巨,33,野間口　貴彦,4.97,25,0,1,1,3,.000,133,29.0,30,4,20,4,28,16,16,1.72,5.36
巨,36,Ｍ．中村,6.18,29,1,2,0,5,.333,126,27.2,34,5,9,3,28,19,19,1.55,4.64
巨,11,久保　裕也,3.29,7,1,0,0,0,1.000,116,27.1,24,3,10,1,25,10,10,1.24,3.92
巨,37,藤田　宗一,2.08,19,1,0,0,2,1.000,72,17.1,20,1,1,0,10,5,4,1.21,2.89
巨,30,西村　健太朗,4.97,11,2,0,0,0,1.000,59,12.2,15,1,5,1,10,9,7,1.58,3.75
巨,68,栂野　雅史,4.05,5,0,0,0,0,.000,25,6.2,4,1,3,0,4,3,3,1.05,5.22
巨,28,金刃　憲人,3.60,6,1,0,0,0,1.000,20,5.0,4,0,1,1,3,2,2,1.00,3.12
巨,60,深田　拓也,9.00,8,0,0,0,0,.000,17,4.0,4,1,1,1,4,4,4,1.25,5.87
巨,57,古川　祐樹,4.50,6,0,0,0,0,.000,18,4.0,5,0,2,0,0,2,2,1.75,4.62
巨,41,木佐貫　洋,10.13,1,0,0,0,0,.000,12,2.2,4,2,0,0,2,3,3,1.50,11.37
巨,62,上野　貴久,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,67,齋藤　圭祐,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,95,竹嶋　祐貴,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,93,笠原　将生,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,63,会田　有志,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
