Team,背番号,選手名,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,長打率,出塁率
広,6,梵　英心,.306,144,659,562,82,172,34,3,13,251,56,43,14,36,4,53,0,4,80,4,.447,.368
広,26,廣瀬　純,.309,135,546,482,65,149,32,3,12,223,57,3,1,8,4,36,3,16,66,9,.463,.374
広,2,東出　輝裕,.267,108,492,454,53,121,15,7,1,153,40,10,7,10,1,26,0,1,55,4,.337,.307
広,5,栗原　健太,.295,105,450,386,62,114,22,0,15,181,65,3,3,0,6,51,2,7,70,10,.469,.382
広,31,石原　慶幸,.263,122,408,369,33,97,19,0,8,140,41,4,4,6,1,29,5,3,81,10,.379,.321
広,49,天谷　宗一郎,.245,123,382,335,46,82,11,2,6,115,35,18,10,1,3,37,0,6,72,3,.343,.328
広,55,嶋　重宣,.262,123,377,343,48,90,21,0,14,153,46,0,2,0,3,25,0,6,53,7,.446,.321
広,38,赤松　真人,.285,113,320,291,41,83,12,3,4,113,33,20,4,14,4,8,0,3,48,4,.388,.307
広,4,小窪　哲也,.207,81,244,208,17,43,7,0,1,53,24,0,0,6,4,21,0,5,31,9,.255,.290
広,10,岩本　貴裕,.259,61,220,212,29,55,7,1,14,106,36,0,2,1,1,6,0,0,57,4,.500,.279
広,11,ヒューバー,.220,80,209,177,20,39,7,0,7,67,17,0,0,0,0,25,0,7,42,6,.379,.340
広,25,石井　琢朗,.318,74,165,148,15,47,5,1,0,54,20,1,1,5,0,11,0,1,20,2,.365,.369
広,66,木村　昇吾,.324,70,164,136,22,44,10,5,1,67,11,6,5,16,0,10,0,2,33,1,.493,.378
広,43,フィオ,.246,44,151,126,13,31,4,0,2,41,15,2,0,2,1,19,1,3,37,3,.325,.356
広,40,倉　義和,.281,45,105,89,12,25,3,0,2,34,13,1,0,4,0,10,3,2,20,4,.382,.366
広,1,前田　智徳,.221,68,86,77,5,17,3,0,2,26,19,0,0,0,2,6,1,1,19,2,.338,.279
広,51,末永　真史,.250,21,66,60,5,15,2,1,0,19,2,3,1,1,0,5,0,0,20,1,.317,.308
広,64,會澤　翼,.170,32,56,53,4,9,1,0,1,13,5,0,0,1,0,2,0,0,16,3,.245,.200
広,59,山本　芳彦,.256,39,46,43,4,11,1,0,0,12,2,0,0,1,1,1,0,0,15,0,.279,.267
広,44,迎　祐一郎,.133,23,31,30,3,4,0,0,1,7,1,0,0,1,0,0,0,0,9,0,.233,.133
広,63,丸　佳浩,.158,14,22,19,1,3,0,0,0,3,1,1,0,0,1,2,0,0,7,0,.158,.227
広,35,中東　直己,.000,15,11,9,5,0,0,0,0,0,1,3,0,0,1,1,0,0,3,0,.000,.091
広,44,喜田　剛,.125,10,10,8,1,1,0,0,0,1,0,0,0,0,0,2,0,0,4,0,.125,.300
広,45,松本　高明,.000,6,8,7,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,.000,.125
広,56,中谷　翼,.200,2,5,5,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,.400,.200
広,52,庄司　隼人,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,50,鈴木　将光,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,60,安部　友裕,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,61,山本　翔,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,13,堂林　翔太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,33,鞘師　智也,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,68,申　成鉉,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,32,白濱　裕太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,0,井生　崇光,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,37,松山　竜平,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,27,上村　和裕,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,00,田中　彰,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,6,坂本　勇人,.281,144,676,609,107,171,35,4,31,307,85,14,4,10,7,47,2,3,83,6,.504,.332
巨,5,ラミレス,.304,144,606,566,93,172,28,0,49,347,129,1,2,0,7,21,1,12,98,14,.613,.338
巨,2,小笠原　道大,.308,137,591,510,83,157,24,1,34,285,90,1,0,0,5,73,2,3,101,9,.559,.394
巨,10,阿部　慎之助,.281,140,569,498,85,140,27,2,44,303,92,0,0,1,1,58,3,11,91,8,.608,.368
巨,23,脇谷　亮太,.273,132,459,414,65,113,14,8,7,164,43,28,5,6,1,35,4,3,80,5,.396,.333
巨,7,長野　久義,.288,128,459,430,66,124,24,3,19,211,52,12,4,2,0,25,4,2,72,10,.491,.330
巨,31,松本　哲也,.287,94,350,317,49,91,13,2,0,108,22,17,4,12,0,17,0,4,56,4,.341,.331
巨,24,高橋　由伸,.268,116,332,280,30,75,9,0,13,123,56,2,0,0,6,44,1,2,75,6,.439,.364
巨,38,エドガー,.263,100,327,289,26,76,18,1,12,132,44,2,2,2,1,34,3,1,67,7,.457,.342
巨,9,亀井　義行,.185,71,220,205,22,38,13,0,5,66,17,4,2,1,2,9,0,3,38,4,.322,.228
