Team,背番号,選手名,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,長打率,出塁率
西,25,星　孝典,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
西,78,藤澤　亨明,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
西,53,大瀧　愛斗,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
西,39,呉　念庭,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
西,52,山田　遥楓,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
西,62,駒月　仁人,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
西,71,戸川　大輔,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
楽,40,ウィーラー,.244,71,303,266,42,65,12,0,15,122,49,2,0,0,0,33,0,4,59,7,.459,.337
楽,27,岡島　豪郎,.298,64,283,245,27,73,7,4,2,94,23,7,8,4,1,28,1,5,28,2,.384,.380
楽,5,茂木　栄五郎,.279,68,268,233,30,65,11,3,1,85,26,9,3,13,2,16,0,4,48,4,.365,.333
楽,33,銀次,.238,66,268,223,19,53,7,1,1,65,27,1,0,2,1,41,3,1,30,9,.291,.357
楽,6,藤田　一也,.260,52,196,177,14,46,4,2,0,54,17,0,1,6,2,11,0,0,19,4,.305,.300
楽,23,聖澤　諒,.306,49,165,144,20,44,4,2,2,58,13,2,1,10,0,9,0,2,25,4,.403,.355
楽,7,松井　稼頭央,.190,35,134,121,16,23,4,1,2,35,10,2,0,0,1,12,0,0,31,5,.289,.261
楽,37,嶋　基宏,.286,37,128,105,15,30,8,1,1,43,11,2,2,7,0,16,0,0,23,4,.410,.380
楽,8,今江　敏晃,.263,31,126,118,12,31,3,0,0,34,8,1,0,0,0,7,0,1,12,2,.288,.310
楽,35,島内　宏明,.291,46,121,103,13,30,1,2,2,41,12,3,1,3,3,11,0,1,11,1,.398,.356
楽,4,後藤　光尊,.257,40,118,113,16,29,4,1,2,41,8,2,0,0,0,4,1,1,24,1,.363,.288
楽,9,オコエ　瑠偉,.187,35,99,91,10,17,4,2,1,28,6,3,2,0,2,5,0,1,23,0,.308,.232
楽,44,足立　祐一,.234,30,89,77,6,18,2,0,1,23,5,0,0,4,2,6,0,0,16,1,.299,.282
楽,3,ゴームズ,.169,18,75,65,5,11,2,0,1,16,7,0,1,0,0,8,0,2,22,1,.246,.280
楽,24,福田　将儀,.200,36,74,60,6,12,2,0,2,20,8,2,2,6,0,8,0,0,11,3,.333,.294
楽,32,枡田　慎太郎,.304,34,55,46,5,14,1,0,1,18,5,2,0,0,0,8,0,1,19,1,.391,.418
楽,36,内田　靖人,.239,14,48,46,3,11,4,0,2,21,7,0,0,0,0,2,0,0,20,0,.457,.271
楽,2,吉持　亮汰,.161,21,37,31,6,5,0,1,0,7,1,1,1,3,0,3,0,0,6,0,.226,.235
楽,56,中川　大志,.171,11,37,35,2,6,2,0,0,8,8,0,0,1,0,1,0,0,9,1,.229,.194
楽,25,牧田　明久,.417,11,25,24,2,10,2,0,0,12,2,0,0,1,0,0,0,0,2,2,.500,.417
楽,68,川本　良平,.158,11,23,19,1,3,1,0,0,4,2,0,0,2,0,1,0,1,4,0,.211,.238
楽,48,伊志嶺　忠,.154,19,17,13,0,2,0,0,0,2,1,0,1,2,1,1,1,0,4,0,.154,.200
楽,00,阿部　俊人,.231,23,14,13,0,3,1,0,0,4,2,0,0,1,0,0,0,0,3,0,.308,.231
楽,42,アマダー,.071,4,14,14,0,1,0,1,0,3,0,0,0,0,0,0,0,0,5,0,.214,.071
楽,29,小関　翔太,.000,7,9,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,.000,.125
楽,55,哲朗,.111,6,9,9,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,.111,.111
楽,57,三好　匠,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000
楽,67,岩﨑　達郎,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
楽,51,フェルナンド,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
楽,65,堀内　謙伍,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
楽,39,下妻　貴寛,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
楽,66,村林　一輝,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
楽,46,伊東　亮大,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
楽,63,北川　倫太郎,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
楽,0,栗原　健太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
オ,39,西野　真弘,.270,69,305,267,32,72,8,4,0,88,17,8,4,6,0,32,0,0,28,1,.330,.348
オ,7,糸井　嘉男,.298,69,298,258,37,77,10,0,9,114,41,23,3,0,1,37,2,2,36,7,.442,.389
オ,4,モレル,.231,58,210,182,20,42,6,0,6,66,28,1,0,0,4,20,0,4,56,5,.363,.314
オ,55,Ｔ－岡田,.309,50,202,188,32,58,13,0,14,113,33,3,1,0,0,11,1,3,47,8,.601,.356
オ,3,安達　了一,.210,51,200,167,19,35,6,0,0,41,13,5,1,13,2,16,0,2,21,3,.246,.283
オ,31,小谷野　栄一,.249,50,189,177,14,44,6,0,4,62,13,1,0,8,0,3,0,1,30,3,.350,.265
オ,1,中島　宏之,.235,45,147,132,6,31,7,0,2,44,11,1,0,0,0,15,0,0,23,3,.333,.313
オ,29,ボグセビック,.204,37,124,108,11,22,8,0,1,33,14,1,1,0,0,10,1,6,29,2,.306,.306
オ,8,駿太,.182,55,120,110,6,20,3,0,0,23,3,1,3,2,0,7,0,1,23,1,.209,.237
オ,38,小島　脩平,.253,30,107,99,8,25,3,0,0,28,4,5,5,2,0,4,0,2,12,2,.283,.295
オ,22,伊藤　光,.216,40,94,88,8,19,1,0,0,20,5,1,0,4,0,1,0,1,16,3,.227,.233
オ,34,吉田　正尚,.263,21,84,80,10,21,6,0,0,27,4,0,0,0,0,4,0,0,13,4,.338,.298
オ,62,山崎　勝己,.152,42,80,66,2,10,1,0,0,11,0,0,0,11,0,3,0,0,16,0,.167,.188
オ,42,ブランコ,.227,22,76,66,6,15,2,0,3,26,13,0,0,0,1,8,0,1,23,2,.394,.316
オ,24,宮﨑　祐樹,.238,23,49,42,3,10,1,0,0,11,0,0,1,3,0,3,0,1,8,0,.262,.304
オ,37,若月　健矢,.282,21,48,39,3,11,2,0,0,13,1,0,0,5,0,1,1,3,10,0,.333,.349
オ,10,大城　滉二,.225,21,46,40,4,9,0,0,0,9,2,0,2,2,1,3,0,0,13,1,.225,.273
オ,2,原　拓也,.189,36,43,37,1,7,1,0,0,8,4,0,0,1,0,5,0,0,7,2,.216,.286
オ,33,縞田　拓弥,.194,25,40,36,3,7,1,0,1,11,3,0,0,2,0,2,0,0,7,1,.306,.237
オ,61,奥浪　鏡,.276,10,35,29,2,8,2,0,0,10,0,1,0,0,0,5,0,1,7,0,.345,.400
オ,50,小田　裕也,.045,28,26,22,2,1,0,0,0,1,1,1,0,1,0,3,0,0,7,0,.045,.160
オ,44,クラーク,.150,8,23,20,3,3,0,0,2,9,3,0,0,0,0,3,0,0,7,0,.450,.261
オ,56,武田　健吾,.133,6,15,15,1,2,2,0,0,4,1,0,0,0,0,0,0,0,1,0,.267,.133
オ,23,伏見　寅威,.000,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000
オ,63,中村　一生,.333,6,3,3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,.667,.333
オ,46,川端　崇義,.333,2,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.333
オ,99,杉本　裕太郎,.000,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000
オ,30,岩﨑　恭平,.500,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.500
オ,40,鈴木　昂平,.000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000
オ,97,田中　大輔,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000
オ,45,齋藤　俊雄,.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000
オ,54,堤　裕貴,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
オ,6,宗　佑磨,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
オ,53,吉田　雄人,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
