Team,背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
広,42,ジョンソン,2.49,20,11,6,0,0,.647,567,137.1,119,8,44,2,107,45,38,1.19,3.30
広,15,黒田　博樹,3.13,19,7,7,0,0,.500,503,120.2,128,13,24,1,78,44,42,1.26,3.77
広,19,野村　祐輔,2.93,19,12,3,0,0,.800,483,116.2,109,8,29,5,70,39,38,1.18,3.69
広,17,岡田　明丈,3.40,14,3,3,0,0,.500,339,79.1,84,6,23,0,47,34,30,1.35,3.79
広,12,九里　亜蓮,4.52,22,1,2,0,0,.333,274,63.2,66,6,26,0,41,33,32,1.45,4.28
広,11,福井　優也,4.68,10,2,4,0,0,.333,275,59.2,71,7,24,4,46,32,31,1.59,4.51
広,66,ヘーゲンズ,2.38,45,5,2,0,19,.714,226,56.2,46,4,15,2,24,16,15,1.08,4.09
広,16,今村　猛,2.96,48,3,4,0,12,.429,224,54.2,46,3,18,0,58,18,18,1.17,2.70
広,53,戸田　隆矢,2.80,17,4,0,1,0,1.000,226,54.2,49,5,18,4,42,17,17,1.23,3.98
広,58,ジャクソン,1.49,52,4,3,0,27,.571,210,54.1,30,2,19,0,70,10,9,0.90,2.07
広,21,中﨑　翔太,1.72,46,2,4,22,7,.333,199,47.0,41,2,18,1,42,11,9,1.26,2.97
広,22,中村　恭平,5.40,8,1,1,0,0,.500,156,35.0,41,3,18,0,17,21,21,1.69,4.81
広,24,横山　弘樹,5.47,6,2,2,0,0,.500,123,26.1,30,3,12,5,17,19,16,1.59,5.25
広,57,オスカル,8.15,19,2,0,0,1,1.000,89,17.2,31,3,6,1,11,17,16,2.09,5.27
広,30,一岡　竜司,2.70,14,0,1,0,1,.000,51,13.1,8,0,5,0,7,4,4,0.98,3.20
広,20,永川　勝浩,6.30,11,2,0,0,1,1.000,46,10.0,14,1,2,1,8,7,7,1.60,3.72
広,29,江草　仁貴,6.00,8,0,0,0,1,.000,38,9.0,8,1,4,1,5,6,6,1.33,5.12
広,23,薮田　和樹,6.48,8,1,1,0,0,.500,41,8.1,7,2,8,1,6,6,6,1.80,8.04
広,47,小野　淳平,7.36,6,0,0,0,0,.000,35,7.1,8,2,2,2,3,7,6,1.36,7.48
広,48,西原　圭大,12.60,2,0,0,0,0,.000,27,5.0,12,1,1,0,2,7,7,2.60,5.52
広,34,中田　廉,16.62,8,1,1,0,1,.500,23,4.1,5,1,4,1,6,8,8,2.08,6.81
