Team,背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
西,1,栗山　巧,.289,103,467,394,114,2,33,3,52,6,62,12,4,.353,.378,.731,5.28,5.18
西,32,浅村　栄斗,.245,114,459,404,99,7,37,13,34,4,63,13,9,.376,.307,.683,3.79,3.84
西,55,秋山　翔吾,.293,107,450,403,118,4,37,10,28,3,70,15,7,.404,.343,.747,4.82,4.63
西,27,炭谷　銀仁朗,.194,139,414,360,70,0,23,0,17,1,74,35,9,.233,.232,.466,1.17,1.23
西,0,大崎　雄太朗,.269,107,298,260,70,1,22,1,17,7,27,10,4,.346,.326,.673,4.06,4.04
西,7,片岡　易之,.225,52,231,204,46,2,19,8,15,1,30,7,6,.294,.277,.571,2.19,2.44
西,14,オーティズ,.286,64,214,199,57,9,21,0,14,1,38,0,8,.462,.336,.799,5.00,4.91
西,5,原　拓也,.168,86,138,113,19,0,3,1,14,3,22,7,1,.204,.275,.478,1.89,2.09
西,2,カーター,.294,59,138,126,37,4,27,0,10,1,22,0,3,.452,.348,.800,5.60,5.47
西,58,熊代　聖人,.270,109,133,115,31,0,6,2,3,2,30,12,1,.287,.298,.584,2.81,2.83
西,49,上本　達之,.233,74,130,116,27,2,11,0,10,1,31,2,2,.310,.297,.607,2.69,2.86
西,33,星　秀和,.190,71,115,100,19,1,9,3,3,0,16,11,0,.280,.212,.492,1.85,1.98
西,42,嶋　重宣,.176,27,82,74,13,1,7,0,7,0,11,0,1,.243,.244,.487,1.53,1.84
西,36,米野　智人,.207,32,64,58,12,1,6,0,4,1,17,1,1,.276,.270,.546,2.27,2.39
西,44,高山　久,.204,35,57,54,11,1,4,1,3,0,16,0,0,.278,.246,.523,2.29,2.42
西,31,坂田　遼,.227,16,50,44,10,0,3,0,4,0,12,2,1,.227,.292,.519,2.05,2.12
西,59,永江　恭平,.037,27,34,27,1,0,0,0,0,0,11,7,0,.037,.037,.074,-1.54,-1.35
西,65,斉藤　彰吾,.222,29,27,27,6,0,0,0,0,0,11,0,0,.296,.222,.519,0.50,0.56
西,25,星　孝典,.143,29,23,21,3,0,0,0,0,1,4,1,0,.143,.182,.325,0.12,0.33
西,56,鬼崎　裕司,.118,57,22,17,2,0,0,0,2,0,4,3,0,.235,.211,.446,1.28,1.44
西,9,阿部　真宏,.000,14,18,14,0,0,0,0,1,0,1,3,2,.000,.067,.067,-2.36,-2.20
西,8,平尾　博嗣,.133,12,16,15,2,0,2,0,1,0,3,0,1,.133,.188,.321,-0.63,-0.42
西,10,佐藤　友亮,.071,12,16,14,1,0,0,0,0,0,1,2,1,.071,.071,.143,-1.79,-1.64
西,53,石川　貢,.222,7,10,9,2,0,0,2,0,1,2,0,0,.222,.300,.522,4.03,4.05
西,51,大島　裕行,.222,5,9,9,2,0,0,0,0,0,3,0,0,.333,.222,.556,2.37,2.20
西,00,林崎　遼,.000,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
西,61,田代　将太郎,.000,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
西,67,梅田　尚通,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
西,52,武山　真吾,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
西,62,駒月　仁人,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
西,4,美沢　将,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
西,63,荒川　雄太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
西,39,岳野　竜也,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
楽,23,聖澤　諒,.270,138,595,523,141,4,45,54,49,7,104,12,4,.331,.338,.669,4.55,4.54
楽,3,フェルナンデス,.243,129,489,440,107,3,51,2,44,2,67,0,11,.311,.313,.624,3.25,3.28
楽,33,銀次,.280,126,485,432,121,4,45,8,22,4,37,23,4,.354,.318,.672,3.98,3.94
楽,7,松井　稼頭央,.266,106,433,402,107,9,43,14,26,1,55,3,6,.408,.312,.720,4.58,4.45
楽,5,牧田　明久,.225,123,425,378,85,9,53,5,23,9,49,10,11,.331,.283,.613,2.68,2.86
楽,46,鉄平,.251,121,355,315,79,1,33,8,11,6,45,18,7,.302,.285,.586,2.62,2.75
楽,37,嶋　基宏,.291,91,316,265,77,1,8,3,33,4,51,13,5,.332,.376,.708,4.53,4.47
楽,50,ガルシア,.227,77,296,269,61,7,30,0,23,2,65,0,6,.349,.291,.640,3.27,3.38
楽,32,枡田　慎太郎,.295,79,290,254,75,5,32,1,19,5,56,7,2,.433,.350,.783,5.55,5.51
楽,4,高須　洋介,.244,58,212,176,43,0,9,2,24,2,15,8,5,.284,.338,.622,3.47,3.53
楽,6,藤田　一也,.308,63,188,172,53,0,15,5,4,0,10,11,4,.378,.322,.700,4.05,3.84
楽,6,内村　賢介,.168,55,131,113,19,0,12,8,6,1,23,11,0,.195,.217,.411,1.28,1.42
楽,27,岡島　豪郎,.258,43,125,120,31,2,11,3,4,1,15,0,1,.333,.288,.621,3.42,3.40
楽,44,テレーロ,.153,34,121,111,17,1,7,2,7,2,30,0,0,.198,.215,.413,1.11,1.41
楽,8,中島　俊哉,.250,58,108,96,24,0,6,1,7,0,15,5,0,.271,.301,.572,2.88,2.87
楽,35,島内　宏明,.299,41,104,97,29,2,17,1,2,0,8,4,2,.443,.310,.753,4.73,4.58
楽,1,岩村　明憲,.209,26,79,67,14,1,5,0,11,0,10,0,0,.343,.316,.660,4.15,4.26
楽,12,草野　大輔,.241,24,65,58,14,1,6,0,3,3,10,1,0,.328,.313,.640,3.55,3.53
楽,65,小山　桂司,.224,22,65,58,13,0,6,0,3,0,15,2,1,.241,.254,.495,1.56,1.96
楽,00,中村　真人,.226,25,59,53,12,1,6,0,2,0,8,4,0,.321,.255,.575,2.67,2.68
楽,9,阿部　俊人,.298,30,51,47,14,0,2,1,0,1,9,3,0,.298,.313,.610,2.53,2.52
楽,68,ハーパー,.174,19,51,46,8,0,1,0,3,2,16,0,1,.217,.255,.472,1.43,1.54
楽,99,河田　寿司,.293,18,47,41,12,0,5,0,5,0,6,0,2,.293,.362,.654,3.73,3.94
楽,66,西村　弥,.289,82,42,38,11,0,5,0,2,0,11,1,0,.474,.317,.791,4.03,3.92
楽,62,定岡　卓摩,.156,16,37,32,5,0,2,0,3,0,16,2,0,.250,.229,.479,1.57,1.58
楽,48,伊志嶺　忠,.167,11,28,24,4,0,1,0,3,0,5,1,0,.208,.259,.468,1.73,1.85
楽,55,西田　哲朗,.136,20,27,22,3,0,1,0,1,1,4,3,0,.136,.208,.345,0.49,0.69
楽,36,榎本　葵,.158,16,22,19,3,0,0,0,3,0,1,0,0,.263,.273,.536,2.54,2.72
楽,25,横川　史学,.150,11,22,20,3,0,1,1,2,0,7,0,0,.150,.227,.377,0.98,1.22
楽,43,小斉　祐輔,.176,11,20,17,3,1,5,0,0,0,3,1,0,.412,.158,.570,2.24,3.43
楽,0,稲田　直人,.250,2,4,4,1,0,0,0,0,0,0,0,1,.250,.250,.500,-0.90,-0.95
楽,39,井野　卓,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
楽,63,北川　倫太郎,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
楽,29,小関　翔太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
楽,60,勧野　甲輝,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
楽,52,山本　大明,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
楽,2,三好　匠,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
オ,25,李　大浩,.286,144,601,525,150,24,91,0,64,7,85,0,18,.478,.368,.846,5.99,5.95
オ,52,バルディリス,.264,143,574,503,133,10,55,1,54,14,76,0,13,.394,.350,.744,4.90,4.80
オ,1,後藤　光尊,.242,131,546,520,126,4,43,3,14,5,74,1,8,.306,.266,.572,2.60,2.69
オ,46,川端　崇義,.266,125,484,429,114,2,27,6,22,9,59,24,8,.317,.315,.632,3.36,3.25
オ,10,大引　啓次,.224,110,432,352,79,6,20,6,46,3,74,28,8,.315,.317,.632,3.33,3.44
オ,55,Ｔ−岡田,.280,103,404,378,106,10,56,4,22,4,81,0,5,.418,.327,.745,4.87,4.70
オ,4,スケールズ,.262,85,362,305,80,5,23,4,47,8,103,0,3,.384,.373,.757,5.60,5.54
オ,22,伊藤　光,.205,66,197,176,36,0,10,0,5,0,48,12,2,.256,.222,.477,1.49,1.70
オ,9,坂口　智隆,.228,40,165,158,36,0,8,2,5,0,13,2,0,.253,.252,.505,1.96,2.01
オ,23,北川　博敏,.221,59,159,140,31,1,11,0,17,0,23,0,3,.286,.302,.588,2.95,3.12
オ,53,野中　信吾,.217,74,149,120,26,0,7,12,11,2,20,16,2,.275,.293,.568,2.40,2.44
オ,27,日高　剛,.239,52,122,117,28,1,8,0,3,0,33,1,1,.325,.256,.581,2.71,2.75
オ,45,齋藤　俊雄,.207,51,107,92,19,0,6,1,1,1,34,13,2,.239,.223,.463,1.21,1.22
オ,26,竹原　直隆,.186,34,107,97,18,4,10,0,6,1,28,0,3,.340,.234,.574,2.20,2.69
オ,3,安達　了一,.159,50,103,88,14,0,4,2,7,0,23,6,0,.216,.216,.432,1.09,1.40
オ,6,高橋　信二,.202,28,93,89,18,2,12,0,4,0,15,0,3,.303,.237,.540,1.83,1.89
オ,38,小島　脩平,.218,29,91,87,19,0,2,1,3,0,19,1,2,.218,.244,.463,1.18,1.28
オ,44,鈴木　郁洋,.197,41,77,66,13,0,1,0,8,0,16,3,3,.212,.284,.496,1.34,1.45
オ,7,赤田　将吾,.139,26,76,72,10,1,5,1,4,0,22,0,0,.250,.184,.434,1.10,1.32
オ,58,梶本　勇介,.213,42,67,61,13,0,5,0,3,0,17,2,0,.328,.246,.574,2.19,2.35
オ,63,中村　一生,.204,62,60,54,11,1,6,0,2,1,24,2,0,.333,.241,.575,2.32,2.53
オ,33,縞田　拓弥,.182,28,51,44,8,0,2,0,2,0,11,5,0,.227,.217,.445,1.28,1.31
オ,2,山崎　浩司,.189,35,44,37,7,0,1,1,4,0,7,3,0,.270,.268,.539,2.18,2.26
オ,24,宮崎　祐樹,.229,11,37,35,8,2,6,1,2,0,13,0,0,.457,.270,.727,4.07,4.18
オ,66,由田　慎太郎,.152,20,36,33,5,0,1,0,1,0,3,1,0,.182,.171,.353,0.42,0.84
オ,8,駿太,.138,32,31,29,4,0,0,0,0,0,9,2,2,.138,.138,.276,-1.04,-0.91
オ,68,深江　真登,.375,8,29,24,9,0,2,3,2,1,5,2,0,.542,.444,.986,8.84,8.27
オ,0,森山　周,.154,18,27,26,4,0,0,1,1,0,2,0,1,.154,.185,.339,0.00,0.18
オ,67,横山　徹也,.240,15,27,25,6,0,1,0,1,0,5,1,0,.240,.269,.509,2.15,2.20
オ,30,三ツ俣　大樹,.238,9,23,21,5,0,0,0,1,0,6,1,0,.333,.273,.606,3.10,2.91
オ,31,荒金　久雄,.250,3,8,8,2,0,1,0,0,0,2,0,0,.250,.250,.500,1.97,1.98
オ,37,辻　俊哉,.167,5,6,6,1,0,0,0,0,0,1,0,0,.167,.167,.333,-1.54,-1.26
オ,62,堤　裕貴,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
オ,56,柴田　亮輔,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
オ,49,庄司　龍二,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
オ,32,丹羽　将弥,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
