Team,背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
横,32,高城　俊人,.170,45,122,106,18,0,0,0,5,7,33,4,6,.198,.254,.452,0.85,0.94
横,59,黒羽根　利規,.125,61,119,112,14,0,5,0,4,0,26,2,3,.161,.154,.315,-0.34,-0.14
横,31,吉村　裕基,.209,25,72,67,14,2,7,0,5,0,22,0,0,.343,.264,.607,2.88,2.99
横,56,ルイーズ,.210,32,65,62,13,2,5,0,3,0,20,0,4,.339,.246,.585,1.83,1.93
横,9,一輝,.175,56,62,57,10,0,2,0,4,1,21,0,1,.193,.242,.435,1.05,1.21
横,0,山崎　憲晴,.179,18,30,28,5,0,0,0,1,0,7,1,1,.250,.207,.457,0.89,0.99
横,42,サラサー,.222,13,30,27,6,0,1,0,3,0,5,0,0,.259,.300,.559,2.94,2.97
横,26,井手　正太郎,.214,11,30,28,6,2,3,0,2,0,2,0,2,.500,.267,.767,3.57,3.67
横,6,啓二朗,.125,18,10,8,1,0,1,0,0,0,1,2,0,.125,.125,.250,-0.31,-0.18
横,39,内藤　雄太,.167,8,7,6,1,0,3,0,1,0,1,0,0,.500,.286,.786,5.02,4.97
横,37,桑原　将志,.333,3,3,3,1,0,0,0,0,0,1,0,0,.333,.333,.667,4.43,4.19
横,29,新沼　慎二,.000,4,2,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.81,-2.57
横,43,北　篤,.000,2,1,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.92,-2.70
横,51,大原　淳也,.000,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
横,62,高森　勇旗,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
横,36,細山田　武史,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
横,57,鶴岡　賢二郎,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
横,44,渡邊　雄貴,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
横,33,乙坂　智,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
横,40,飛雄馬,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,7,田中　浩康,.274,139,593,486,133,2,40,1,54,9,60,40,15,.323,.354,.677,3.89,3.86
ヤ,85,ミレッジ,.300,125,546,476,143,21,65,9,57,6,79,3,11,.485,.379,.865,6.46,6.34
ヤ,5,川端　慎吾,.298,125,507,453,135,4,49,3,35,2,56,13,7,.380,.348,.728,4.82,4.72
ヤ,33,畠山　和洋,.266,121,497,455,121,13,55,2,37,2,64,1,13,.402,.323,.725,4.39,4.35
ヤ,4,バレンティン,.272,106,422,353,96,31,81,1,64,3,92,0,14,.572,.386,.958,7.34,7.35
ヤ,6,宮本　慎也,.267,110,394,356,95,3,23,1,16,5,38,16,9,.306,.307,.613,3.08,3.05
ヤ,68,森岡　良介,.249,100,282,245,61,1,18,1,11,5,44,19,1,.318,.293,.611,3.16,3.17
ヤ,52,中村　悠平,.254,91,249,209,53,1,15,1,28,2,31,8,10,.292,.344,.636,3.23,3.25
ヤ,2,相川　亮二,.245,72,244,220,54,1,28,0,20,1,33,1,7,.295,.309,.604,2.98,3.00
ヤ,3,福地　寿樹,.255,83,216,188,48,0,19,12,16,4,29,6,3,.335,.324,.659,4.17,4.10
ヤ,50,上田　剛史,.257,50,173,148,38,0,12,8,12,0,30,13,2,.318,.313,.630,3.23,3.15
ヤ,41,雄平,.280,47,153,143,40,0,8,2,7,0,19,3,0,.308,.313,.621,3.40,3.31
ヤ,57,松井　淳,.287,46,150,143,41,5,15,1,6,1,26,0,5,.462,.320,.782,4.79,4.60
ヤ,9,飯原　誉士,.161,50,103,93,15,1,6,1,7,0,13,2,5,.237,.218,.454,0.84,1.05
ヤ,8,武内　晋一,.244,52,94,82,20,1,3,1,7,4,14,0,4,.317,.333,.650,3.23,3.24
ヤ,10,藤本　敦士,.218,66,88,78,17,0,3,0,10,0,12,0,1,.269,.307,.576,2.97,3.01
ヤ,49,宮出　隆自,.296,37,58,54,16,3,8,0,3,0,11,1,1,.593,.333,.926,6.84,6.51
ヤ,0,比屋根　渉,.273,43,51,44,12,0,2,11,3,1,1,2,1,.273,.327,.599,3.28,3.54
ヤ,23,山田　哲人,.250,26,49,44,11,1,1,0,5,0,11,0,0,.364,.327,.690,4.56,4.52
ヤ,28,川本　良平,.256,27,47,43,11,1,4,0,3,1,13,0,1,.372,.319,.691,3.64,3.56
ヤ,55,野口　祥順,.263,39,46,38,10,0,0,2,3,1,9,4,0,.289,.333,.623,3.09,3.07
ヤ,31,松元　ユウイチ,.189,21,40,37,7,0,1,0,3,0,3,0,3,.189,.250,.439,0.44,0.56
ヤ,60,三輪　正義,.276,65,39,29,8,0,0,6,2,0,5,8,0,.310,.323,.633,3.78,3.65
ヤ,32,新田　玄気,.222,8,9,9,2,0,2,0,0,0,1,0,1,.222,.222,.444,-0.06,-0.03
ヤ,37,福川　将和,.143,7,7,7,1,1,2,0,0,0,4,0,0,.571,.143,.714,3.28,3.92
ヤ,24,荒木　貴裕,.200,6,5,5,1,0,0,0,0,0,1,0,0,.200,.200,.400,0.77,0.88
ヤ,54,水田　圭介,.000,2,3,3,0,0,0,0,0,0,2,0,0,.000,.000,.000,-2.84,-2.61
ヤ,59,水野　祐希,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,56,楠城　祐介,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,00,川島　慶三,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,39,又野　知弥,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,30,西田　明央,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,64,川崎　成晃,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,36,川上　竜平,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ソ,1,内川　聖一,.300,138,567,523,157,7,53,6,31,6,36,0,12,.392,.342,.734,4.81,4.73
ソ,36,明石　健志,.254,135,567,508,129,1,27,25,33,2,98,23,2,.299,.301,.601,3.21,3.21
ソ,46,本多　雄一,.246,123,536,480,118,0,31,34,37,1,65,14,6,.294,.299,.593,3.26,3.30
ソ,8,ペーニャ,.280,130,507,461,129,21,76,2,35,8,130,0,11,.490,.339,.829,5.80,5.68
ソ,24,長谷川　勇也,.278,126,473,403,112,4,37,16,40,9,87,16,4,.360,.352,.712,4.77,4.76
ソ,5,松田　宣浩,.300,95,390,360,108,9,56,16,27,1,63,0,7,.492,.349,.840,5.87,5.59
ソ,9,小久保　裕紀,.239,103,357,331,79,4,34,0,20,0,67,3,6,.308,.280,.588,2.80,2.89
ソ,2,今宮　健太,.238,126,343,307,73,2,14,8,10,3,75,21,2,.290,.267,.557,2.44,2.51
ソ,6,多村　仁志,.250,79,218,200,50,4,20,0,18,0,43,0,7,.365,.312,.677,3.57,3.53
ソ,27,細川　亨,.157,92,217,185,29,2,13,0,8,1,50,21,1,.205,.194,.399,0.72,0.98
ソ,44,柳田　悠岐,.246,68,212,195,48,5,18,6,10,5,56,2,2,.385,.300,.685,4.14,4.05
ソ,43,江川　智晃,.244,56,175,160,39,4,18,1,8,0,37,4,3,.388,.275,.662,3.50,3.70
ソ,3,松中　信彦,.221,65,164,136,30,4,13,1,26,2,26,0,1,.324,.354,.677,4.60,4.69
ソ,12,高谷　裕亮,.211,64,144,133,28,0,10,1,7,0,25,3,2,.271,.248,.519,1.90,1.95
ソ,29,山崎　勝己,.198,85,98,86,17,0,2,0,6,0,22,6,0,.267,.250,.517,2.09,2.06
ソ,60,中村　晃,.228,39,63,57,13,0,3,2,3,0,5,2,0,.263,.262,.525,2.07,2.28
ソ,37,福田　秀平,.189,63,55,53,10,0,5,13,1,0,18,1,0,.208,.204,.411,2.34,2.41
ソ,42,アレン,.171,12,36,35,6,0,1,0,1,0,13,0,0,.200,.194,.394,0.66,0.79
ソ,45,李　杜軒,.207,15,33,29,6,1,3,0,4,0,8,0,2,.414,.303,.717,3.37,3.34
ソ,42,カブレラ,.207,8,29,29,6,1,3,0,0,0,10,0,0,.345,.207,.552,2.24,2.36
ソ,58,中西　健太,.154,8,15,13,2,1,1,0,1,0,3,1,0,.385,.214,.599,2.58,2.95
ソ,23,城所　龍磨,.167,73,13,12,2,0,1,10,0,0,7,1,0,.167,.167,.333,3.22,3.51
ソ,4,金子　圭輔,.182,41,13,11,2,0,0,3,1,0,0,1,1,.182,.250,.432,0.74,0.95
ソ,0,仲澤　忠厚,.000,9,2,1,0,0,0,0,0,0,0,1,0,.000,.000,.000,-0.79,-0.68
ソ,70,田上　秀則,.000,1,2,2,0,0,0,0,0,0,2,0,0,.000,.000,.000,-2.92,-2.70
ソ,68,福元　淳史,.000,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
ソ,22,山下　斐紹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ソ,35,堂上　隼人,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ソ,55,白根　尚貴,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ソ,10,中原　恵司,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
