Team,背番号,選手名,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,長打率,出塁率
広,33,菊池　涼介,.325,144,654,579,88,188,39,2,11,264,58,23,10,43,5,24,0,3,79,9,.456,.352
広,9,丸　佳浩,.310,144,644,536,106,166,30,5,19,263,67,26,11,0,4,100,3,4,95,12,.491,.419
広,55,エルドレッド,.260,118,505,454,71,118,18,0,37,247,104,2,0,0,3,41,3,7,169,8,.544,.329
広,6,梵　英心,.269,114,416,353,43,95,16,3,8,141,41,7,8,17,2,39,0,5,57,14,.399,.348
広,13,キラ,.257,88,335,288,25,74,13,0,11,120,40,0,0,0,2,41,0,4,85,4,.417,.355
広,63,田中　広輔,.292,110,333,295,44,86,11,2,9,128,34,10,3,5,5,24,0,4,68,6,.434,.348
広,7,堂林　翔太,.246,93,330,284,37,70,12,1,8,108,28,1,1,5,3,32,0,6,87,3,.380,.332
広,69,ロサリオ,.336,69,264,238,32,80,13,2,14,139,49,1,2,0,2,23,0,1,58,8,.584,.394
広,66,木村　昇吾,.261,101,253,238,25,62,6,3,1,77,13,4,2,7,1,4,1,3,57,3,.324,.280
広,37,松山　竜平,.318,80,250,233,26,74,9,1,7,106,34,0,1,0,1,14,1,2,29,7,.455,.360
広,31,石原　慶幸,.192,80,223,193,17,37,8,0,4,57,19,1,2,8,0,21,4,1,43,6,.295,.274
広,64,會澤　翼,.307,65,200,179,25,55,9,0,10,94,30,0,1,1,2,16,5,2,28,6,.525,.367
広,4,小窪　哲也,.317,78,182,161,13,51,9,0,3,69,30,1,0,4,3,12,0,2,15,1,.429,.365
広,26,廣瀬　純,.234,60,148,124,11,29,7,0,2,42,14,0,2,2,4,17,0,1,23,6,.339,.322
広,49,天谷　宗一郎,.315,59,128,111,20,35,4,2,3,52,6,4,3,0,0,16,2,1,27,0,.468,.406
広,00,中東　直己,.238,86,87,80,10,19,2,0,1,24,7,4,2,1,1,4,0,1,9,1,.300,.279
広,32,白濱　裕太,.161,30,71,62,4,10,1,0,1,14,1,0,1,4,0,5,0,0,17,0,.226,.224
広,51,鈴木　誠也,.344,36,68,64,6,22,7,0,1,32,7,0,0,0,0,4,0,0,13,2,.500,.382
広,10,岩本　貴裕,.192,39,55,52,5,10,0,1,2,18,10,0,0,0,1,2,0,0,10,3,.346,.218
広,40,倉　義和,.093,26,50,43,1,4,0,0,1,7,2,0,0,3,0,2,1,2,14,1,.163,.170
広,38,赤松　真人,.214,74,32,28,25,6,2,0,0,8,4,12,5,2,0,1,0,1,8,0,.286,.267
広,0,上本　崇司,.286,18,8,7,3,2,0,0,0,2,0,0,0,0,0,1,0,0,2,0,.286,.375
広,44,迎　祐一郎,.125,4,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,.125,.125
広,25,高橋　大樹,.000,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,.000
広,60,安部　友裕,.333,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.333
広,52,庄司　隼人,.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000
広,27,上村　和裕,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,61,磯村　嘉孝,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,50,鈴木　将光,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,59,美間　優槻,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,45,松本　高明,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,2,東出　輝裕,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,99,中村　憲,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,5,栗原　健太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,43,土生　翔平,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,35,下水流　昂,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,6,坂本　勇人,.279,144,616,545,82,152,29,0,16,229,61,23,5,9,5,55,1,2,88,3,.420,.344
巨,25,村田　修一,.256,143,575,519,49,133,17,0,21,213,68,2,2,0,4,39,1,13,83,22,.410,.322
巨,10,阿部　慎之助,.248,131,526,459,49,114,24,0,19,195,57,1,3,0,2,58,5,7,77,16,.425,.340
