Team,背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
広,18,前田　健太,2.60,27,11,9,0,0,.550,746,187.0,164,12,41,2,161,61,54,1.10,2.91
広,14,大瀬良　大地,4.05,26,10,8,0,0,.556,648,151.0,165,20,40,3,116,80,68,1.36,4.16
広,42,バリントン,4.58,23,9,8,0,0,.529,566,131.2,145,14,32,10,85,77,67,1.34,4.15
広,19,野村　祐輔,4.39,19,7,8,0,0,.467,465,104.2,114,10,37,3,75,64,51,1.44,4.08
広,12,九里　亜蓮,4.00,20,2,5,0,0,.286,366,83.1,93,9,31,6,50,45,37,1.49,4.62
広,34,中田　廉,3.89,66,9,8,0,18,.529,334,78.2,78,9,25,3,69,34,34,1.31,3.88
広,11,福井　優也,4.35,11,4,5,0,0,.444,268,60.0,58,2,29,9,36,30,29,1.45,4.25
広,53,戸田　隆矢,3.32,30,4,2,0,6,.667,243,57.0,59,7,22,2,36,24,21,1.42,4.72
広,20,永川　勝浩,4.04,52,3,4,1,15,.429,227,55.2,51,9,13,4,48,26,25,1.15,4.25
広,21,篠田　純平,4.70,12,3,4,0,0,.429,223,51.2,61,5,14,1,24,29,27,1.45,4.32
広,57,ミコライオ,2.45,51,1,1,25,7,.500,194,47.2,39,1,18,0,29,15,13,1.20,3.25
広,56,中崎　翔太,3.92,32,2,3,1,10,.400,193,43.2,45,2,15,3,32,20,19,1.37,3.42
広,70,ヒース,2.38,7,3,0,0,0,1.000,171,41.2,29,3,20,0,35,11,11,1.18,3.82
広,47,小野　淳平,3.86,22,1,1,0,0,.500,164,37.1,42,6,14,0,20,16,16,1.50,5.26
広,30,一岡　竜司,0.58,31,2,0,2,16,1.000,114,31.0,16,0,7,0,27,3,2,0.74,2.06
広,16,今村　猛,4.35,17,1,1,0,0,.500,88,20.2,17,3,9,0,16,10,10,1.26,4.77
広,39,梅津　智弘,5.89,11,0,0,0,0,.000,80,18.1,22,1,6,1,9,12,12,1.53,3.99
広,62,今井　啓介,6.35,11,0,0,0,0,.000,90,17.0,26,1,11,1,20,16,12,2.18,3.47
広,48,西原　圭大,6.61,11,0,0,0,0,.000,79,16.1,23,2,5,2,13,14,12,1.71,4.41
広,58,フィリップス,3.27,9,1,0,0,0,1.000,46,11.0,8,1,3,1,7,4,4,1.00,4.12
広,65,久本　祐一,0.82,8,0,0,0,0,.000,43,11.0,7,0,4,0,10,2,1,1.00,2.39
広,24,河内　貴哉,3.60,12,0,1,0,0,.000,46,10.0,11,2,2,3,6,6,4,1.30,6.02
広,29,江草　仁貴,2.70,8,0,0,0,1,.000,29,6.2,6,0,3,0,6,2,2,1.35,2.67
広,23,横山　竜士,8.10,6,1,0,0,1,1.000,34,6.2,12,2,3,1,3,6,6,2.25,7.92
広,68,池ノ内　亮介,0.00,2,0,0,0,0,.000,9,2.0,2,0,2,0,0,0,0,2.00,6.12
広,41,上野　弘文,13.50,1,0,0,0,0,.000,12,2.0,5,0,2,0,0,3,3,3.50,6.12
広,46,大島　崇行,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,22,中村　恭平,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,36,齊藤　悠葵,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,28,岩見　優輝,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,54,武内　久士,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,67,中村　祐太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,18,杉内　俊哉,3.16,26,10,6,0,0,.625,654,159.1,144,18,41,5,145,59,56,1.16,3.63
巨,19,菅野　智之,2.33,23,12,5,0,0,.706,640,158.2,138,12,36,2,122,50,41,1.10,3.23
