Team,背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
広,18,前田　健太,2.21,28,15,8,0,0,.652,848,215.2,166,15,46,7,174,55,53,0.98,3.11
広,24,スタルツ,5.07,21,6,10,0,0,.375,560,124.1,149,23,46,3,87,74,70,1.57,5.28
広,91,ジオ,4.07,20,8,8,0,0,.500,501,119.1,110,14,37,7,97,60,54,1.23,4.13
広,14,篠田　純平,4.47,34,6,6,0,4,.500,478,108.2,119,13,44,4,58,56,54,1.50,4.85
広,21,齊藤　悠葵,5.58,23,4,7,0,1,.364,459,100.0,135,13,37,3,49,63,62,1.72,4.97
広,47,青木　高広,6.75,19,1,6,0,2,.143,305,65.1,102,8,12,4,45,51,49,1.74,4.07
広,48,岸本　秀樹,5.97,51,1,2,0,10,.333,286,60.1,86,6,21,5,45,44,40,1.77,4.21
広,46,大島　崇行,5.14,53,1,5,3,9,.167,252,56.0,61,7,21,6,46,33,32,1.46,4.50
広,23,横山　竜士,1.62,46,3,2,11,8,.600,206,50.0,37,3,17,3,48,12,9,1.08,3.12
広,99,ソリアーノ,4.30,10,2,3,0,0,.400,199,46.0,45,8,18,1,27,23,22,1.37,5.38
広,39,梅津　智弘,5.80,46,0,1,0,6,.000,186,40.1,47,9,17,3,24,33,26,1.59,6.17
広,62,今井　啓介,5.30,11,0,4,0,0,.000,167,37.1,42,7,18,3,24,26,22,1.61,5.96
広,22,高橋　建,9.30,26,4,5,0,8,.444,144,30.0,37,8,19,0,17,32,31,1.87,7.15
広,19,上野　弘文,4.94,27,1,2,2,7,.333,121,27.1,34,7,8,1,11,17,15,1.54,6.63
広,94,ベイル,7.09,30,0,3,1,4,.000,124,26.2,29,3,15,3,21,23,21,1.65,5.03
広,53,林　昌樹,5.96,26,0,1,0,1,.000,120,25.2,40,4,7,1,19,17,17,1.83,4.60
広,34,中田　廉,4.32,13,1,1,0,0,.500,112,25.0,20,5,14,2,17,13,12,1.36,6.28
広,41,小松　剛,7.94,5,1,3,0,0,.250,110,22.2,36,5,8,1,19,21,20,1.94,5.50
