Team,背番号,選手名,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,長打率,出塁率
広,33,菊池　涼介,.247,141,633,538,69,133,27,4,11,201,57,16,7,50,5,38,0,2,121,4,.374,.297
広,63,丸　佳浩,.273,140,601,506,82,138,25,5,14,215,58,29,15,5,4,85,5,1,103,6,.425,.376
広,6,梵　英心,.304,117,427,359,53,109,27,0,6,154,42,6,5,23,4,38,0,3,58,7,.429,.371
広,7,堂林　翔太,.217,105,410,364,36,79,14,0,6,111,41,10,2,5,1,33,0,7,96,10,.305,.294
広,31,石原　慶幸,.248,121,398,327,32,81,9,0,7,111,35,0,2,15,3,45,2,8,76,12,.339,.350
広,37,松山　竜平,.282,123,389,372,27,105,23,1,10,160,52,2,0,1,4,11,0,1,49,4,.430,.302
広,26,廣瀬　純,.270,106,334,274,41,74,8,1,9,111,39,7,2,4,5,43,1,8,51,6,.405,.379
広,41,ルイス,.268,79,300,265,36,71,19,0,4,102,20,12,3,0,1,31,0,3,73,7,.385,.350
広,13,キラ,.259,66,265,224,31,58,7,0,14,107,45,0,0,0,3,36,0,2,65,2,.478,.362
広,55,エルドレッド,.247,66,260,235,24,58,11,0,13,108,32,3,0,0,1,20,1,4,73,6,.460,.315
広,10,岩本　貴裕,.255,82,152,145,9,37,7,0,5,59,24,0,0,0,2,5,0,0,33,3,.407,.276
広,60,安部　友裕,.220,75,142,123,13,27,4,0,1,34,8,5,2,6,1,12,0,0,31,1,.276,.287
広,66,木村　昇吾,.325,62,133,114,15,37,1,0,1,41,12,3,2,7,0,12,0,0,18,2,.360,.389
広,4,小窪　哲也,.264,53,121,110,16,29,3,2,3,45,9,0,0,1,0,8,0,2,14,3,.409,.325
広,00,中東　直己,.273,51,87,77,12,21,3,0,1,27,4,3,2,3,0,7,1,0,13,0,.351,.333
広,40,倉　義和,.234,39,75,64,4,15,2,1,0,19,4,0,0,3,0,6,0,2,14,1,.297,.319
広,5,栗原　健太,.203,24,69,59,3,12,1,0,0,13,4,0,0,0,0,10,0,0,12,3,.220,.319
広,64,會澤　翼,.188,31,68,64,6,12,1,0,3,22,6,0,0,0,0,4,0,0,18,1,.344,.235
広,44,迎　祐一郎,.217,42,67,60,7,13,3,1,0,18,2,1,0,2,1,4,0,0,12,2,.300,.262
広,49,天谷　宗一郎,.208,34,62,53,5,11,1,0,0,12,1,3,1,0,0,9,0,0,15,0,.226,.323
