Team,背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
広,18,前田　健太,2.10,26,15,7,0,0,.682,690,175.2,129,13,40,2,158,46,41,0.96,2.98
広,42,バリントン,3.23,28,11,9,0,0,.550,710,172.2,154,17,41,14,117,67,62,1.13,3.97
広,17,大竹　寛,3.37,25,10,10,0,0,.500,675,163.0,152,13,49,4,100,64,61,1.23,3.89
広,19,野村　祐輔,3.74,23,12,6,0,0,.667,620,149.1,142,13,37,7,103,70,62,1.20,3.74
広,65,久本　祐一,3.00,43,3,4,1,2,.429,365,84.0,80,2,39,2,60,31,28,1.42,3.47
広,16,今村　猛,3.31,57,2,5,3,18,.286,283,65.1,70,2,28,2,56,26,24,1.50,3.09
広,62,今井　啓介,3.23,33,2,2,0,2,.500,267,61.1,58,6,26,5,50,27,22,1.37,4.28
広,56,中崎　翔太,5.82,17,2,7,0,1,.222,273,60.1,67,7,31,1,40,41,39,1.62,4.84
広,57,ミコライオ,2.04,57,2,4,27,6,.333,242,57.1,48,3,22,0,39,24,13,1.22,3.43
広,22,中村　恭平,3.96,12,1,5,0,0,.167,230,52.1,43,6,37,1,31,24,23,1.53,5.60
広,23,横山　竜士,3.23,37,1,1,0,15,.500,166,39.0,36,5,16,1,24,14,14,1.33,4.48
広,20,永川　勝浩,2.04,29,3,1,0,13,.750,138,35.1,29,3,5,2,28,8,8,0.96,3.15
広,47,小野　淳平,4.60,19,1,1,0,1,.500,140,31.1,28,5,18,3,13,18,16,1.47,6.38
広,34,中田　廉,2.92,15,0,0,0,3,.000,109,24.2,25,2,9,2,21,8,8,1.38,3.69
広,11,福井　優也,8.69,12,0,2,0,0,.000,98,19.2,29,1,11,1,14,23,19,2.03,4.19
広,24,河内　貴哉,4.15,34,1,1,0,7,.500,75,17.1,11,2,10,3,15,9,8,1.21,5.14
広,12,上野　弘文,7.02,14,2,0,0,1,1.000,79,16.2,25,3,6,3,10,13,13,1.86,5.88
広,54,武内　久士,3.94,5,0,1,0,0,.000,68,16.0,9,3,11,0,8,8,7,1.25,6.62
広,36,菊地原　毅,4.50,14,1,1,0,1,.500,54,12.0,17,3,2,1,8,6,6,1.58,5.79
広,58,ソコロビッチ,0.79,11,0,2,0,2,.000,42,11.1,6,0,4,0,6,3,1,0.88,3.12
広,39,梅津　智弘,5.23,8,0,0,0,0,.000,42,10.1,9,0,4,1,6,6,6,1.26,3.41
広,14,篠田　純平,10.80,1,0,1,0,0,.000,28,5.0,10,2,3,0,0,7,6,2.60,10.12
広,53,戸田　隆矢,12.46,3,0,1,0,0,.000,28,4.1,9,1,6,1,4,6,6,3.46,9.12
広,28,岩見　優輝,0.00,3,0,0,0,0,.000,12,3.1,0,0,4,0,4,0,0,1.20,4.32
広,29,江草　仁貴,9.00,3,0,1,0,0,.000,17,3.0,6,2,1,0,1,5,3,2.33,12.12
広,46,大島　崇行,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,47,青木　高広,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,21,齊藤　悠葵,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,69,弦本　悠希,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,30,金丸　将也,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,48,岸本　秀樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
広,67,伊東　昂大,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,19,菅野　智之,3.12,27,13,6,0,0,.684,729,176.0,166,10,37,5,155,70,61,1.15,2.81
巨,26,内海　哲也,3.31,25,13,6,0,0,.684,675,160.1,157,11,47,6,107,68,59,1.27,3.65
巨,15,澤村　拓一,3.13,34,5,10,0,6,.333,654,158.1,138,18,43,5,148,58,55,1.14,3.64
巨,18,杉内　俊哉,3.35,24,11,6,0,0,.647,619,153.0,122,19,49,7,149,60,57,1.12,3.87
巨,54,ホールトン,3.73,18,9,4,0,0,.692,426,103.2,85,14,32,5,67,45,43,1.13,4.62
巨,30,宮國　椋丞,4.93,17,6,7,0,0,.462,401,87.2,113,8,35,2,50,52,48,1.69,4.43
巨,35,西村　健太朗,1.13,71,4,3,42,10,.571,289,71.2,47,1,31,4,71,10,9,1.09,2.70
巨,47,山口　鉄也,1.22,64,4,3,6,38,.571,262,66.2,47,1,17,2,55,12,9,0.96,2.43
巨,20,マシソン,1.03,63,2,2,0,40,.500,235,61.0,36,2,18,2,77,8,7,0.89,2.01
巨,28,高木　京介,4.34,46,3,0,0,6,1.000,209,47.2,37,8,27,3,40,27,23,1.34,5.51
巨,63,笠原　将生,3.33,30,4,1,0,1,.800,203,46.0,43,8,25,2,51,18,17,1.48,4.86
巨,59,小山　雄輝,3.86,10,0,2,0,1,.000,150,35.0,34,4,15,1,31,17,15,1.40,4.21
巨,43,青木　高広,2.87,34,5,1,0,0,.833,120,31.1,19,1,7,2,19,10,10,0.83,3.09
巨,17,香月　良太,6.16,19,0,0,0,3,.000,82,19.0,24,3,5,0,8,13,13,1.53,5.12
巨,29,福田　聡志,5.00,17,1,1,0,0,.500,89,18.0,25,3,10,1,14,12,10,1.94,5.40
巨,65,今村　信貴,2.12,3,1,1,0,0,.500,69,17.0,18,2,4,0,14,4,4,1.29,3.71
巨,49,アコスタ,5.54,14,1,0,0,2,1.000,57,13.0,15,4,4,0,12,8,8,1.46,6.20
巨,46,一岡　竜司,5.23,9,0,0,0,0,.000,44,10.1,11,0,3,0,8,6,6,1.35,2.44
巨,37,田原　誠次,6.00,7,0,0,0,0,.000,39,9.0,9,0,4,1,8,6,6,1.44,3.01
巨,99,阿南　徹,2.57,2,1,0,0,0,1.000,27,7.0,6,0,1,0,3,2,2,1.00,2.69
巨,62,江柄子　裕樹,4.50,4,1,0,0,0,1.000,19,4.0,7,0,0,0,2,2,2,1.75,2.12
巨,57,公文　克彦,0.00,3,0,0,0,0,.000,13,3.0,4,0,1,0,4,0,0,1.67,1.45
巨,13,高木　康成,0.00,1,0,0,0,1,.000,7,2.0,2,0,0,0,1,0,0,1.00,2.12
巨,98,辻内　崇伸,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,22,越智　大祐,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,68,田中　太一,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,45,野間口　貴彦,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,41,松本　竜也,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,11,久保　裕也,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,90,岸　敬祐,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,66,須永　英輝,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,96,林　イー豪,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
巨,43,小野　淳平,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
阪,54,メッセンジャー,2.89,30,12,8,0,0,.600,811,196.1,174,13,56,4,183,68,63,1.17,3.03
阪,14,能見　篤史,2.69,25,11,7,0,0,.611,724,180.2,155,18,41,0,127,57,54,1.08,3.67
阪,55,スタンリッジ,2.74,26,8,12,0,0,.400,677,160.2,161,12,47,4,124,62,49,1.29,3.46
阪,19,藤浪　晋太郎,2.75,24,10,6,0,0,.625,563,137.2,119,10,44,2,126,48,42,1.18,3.24
阪,13,榎田　大樹,3.61,16,4,9,0,0,.308,389,92.1,70,11,38,8,78,39,37,1.17,4.47
阪,34,久保　康友,2.85,44,3,4,6,11,.429,224,53.2,48,4,17,2,46,19,17,1.21,3.21
阪,16,安藤　優也,2.28,58,4,2,1,23,.667,219,51.1,53,1,18,3,32,14,13,1.38,3.06
阪,63,加藤　康介,1.97,61,1,2,1,16,.333,199,50.1,36,3,13,1,54,12,11,0.97,2.46
阪,20,筒井　和也,2.58,39,4,1,1,3,.800,179,45.1,34,4,11,1,39,13,13,0.99,3.34
阪,28,福原　忍,1.20,50,4,0,14,14,1.000,184,45.0,40,2,11,2,38,9,6,1.13,2.81
阪,27,秋山　拓巳,3.83,8,0,3,0,0,.000,189,44.2,46,6,12,0,36,21,19,1.30,4.06
阪,21,岩田　稔,4.95,9,2,5,0,0,.286,189,43.2,43,3,16,1,25,26,24,1.35,4.04
阪,46,鶴　直人,4.93,20,3,1,0,1,.750,144,34.2,38,4,7,1,17,19,19,1.30,4.33
阪,56,松田　遼馬,4.25,27,1,2,0,5,.333,125,29.2,34,6,6,0,29,14,14,1.35,4.30
阪,44,ボイヤー,2.67,22,3,1,0,0,.750,104,27.0,20,3,4,0,21,8,8,0.89,3.45
阪,30,久保田　智之,5.57,17,0,2,0,1,.000,94,21.0,17,2,13,1,14,15,13,1.43,4.88
阪,12,渡辺　亮,3.77,15,1,0,0,2,1.000,64,14.1,11,2,10,1,8,6,6,1.47,6.12
阪,15,藤原　正典,1.32,10,0,0,0,0,.000,58,13.2,10,0,8,0,10,4,2,1.32,3.41
阪,97,玉置　隆,2.19,7,0,0,0,1,.000,47,12.1,6,2,6,0,10,3,3,0.97,4.82
阪,29,小嶋　達也,7.50,3,1,1,0,0,.500,55,12.0,15,3,6,0,8,10,10,1.75,6.54
阪,26,歳内　宏明,5.63,5,0,0,0,0,.000,32,8.0,4,3,2,1,1,5,5,0.75,8.87
阪,64,白仁田　寛和,3.38,2,1,0,0,0,1.000,34,8.0,10,0,2,0,3,3,3,1.50,3.12
阪,47,清原　大貴,4.50,3,0,0,0,0,.000,21,4.0,7,0,2,0,3,2,2,2.25,3.12
阪,59,岩本　輝,4.50,1,0,0,0,0,.000,17,4.0,4,0,3,0,2,2,2,1.75,4.37
阪,62,川崎　雄介,9.00,1,0,0,0,0,.000,13,2.0,3,0,3,1,2,2,2,3.00,7.12
阪,95,ザラテ,5.40,2,0,0,0,0,.000,9,1.2,2,0,2,0,1,1,1,2.40,5.52
