,Team,背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
138,横,14,石田　健大,2.89,12,2,6,0,0,.250,300,71.2,67,6,26,1,58,23,23,1.30,3.72
139,横,49,モスコーソ,5.19,15,3,6,0,2,.333,267,60.2,62,8,27,1,54,36,35,1.47,4.39
140,横,19,山崎　康晃,1.92,58,2,4,37,7,.333,215,56.1,38,2,11,1,66,13,12,0.87,1.88
141,横,20,須田　幸太,3.86,29,3,2,1,3,.600,241,56.0,59,10,23,0,42,26,24,1.46,5.12
142,横,53,エレラ,2.96,52,5,4,0,22,.556,211,51.2,44,2,15,2,53,17,17,1.14,2.44
143,横,56,長田　秀一郎,2.06,45,4,1,0,10,.800,167,39.1,36,1,19,0,18,13,9,1.40,3.83
144,横,54,小杉　陽太,4.33,27,3,3,0,2,.500,164,35.1,37,3,20,1,27,21,17,1.61,4.48
145,横,22,高崎　健太郎,4.98,7,2,3,0,0,.400,149,34.1,46,1,10,0,19,19,19,1.63,3.27
146,横,65,国吉　佑樹,2.43,28,3,2,1,0,.600,138,33.1,22,1,16,3,28,10,9,1.14,3.54
147,横,46,田中　健二朗,2.20,35,2,2,1,16,.500,140,32.2,29,1,16,0,29,9,8,1.38,3.21
148,横,34,平田　真吾,3.38,28,0,2,0,4,.000,140,32.0,29,2,14,1,27,12,12,1.34,3.65
149,横,35,三上　朋也,0.81,21,1,1,0,9,.500,93,22.1,16,0,9,1,20,3,2,1.12,2.67
150,横,24,林　昌範,7.23,24,1,1,0,4,.500,89,18.2,26,1,6,0,10,15,15,1.71,3.55
151,横,41,大原　慎司,4.02,21,0,1,0,6,.000,65,15.2,16,3,2,1,13,7,7,1.15,4.52
152,横,28,福地　元春,2.87,13,0,0,0,0,.000,74,15.2,16,0,12,0,16,9,5,1.79,3.38
153,横,12,小林　寛,3.77,11,0,0,0,1,.000,64,14.1,13,0,10,0,11,6,6,1.60,3.47
154,横,43,安部　建輝,2.89,5,0,1,0,0,.000,38,9.1,6,1,6,0,6,3,3,1.29,5.16
155,横,47,高橋　尚成,8.64,6,0,1,0,0,.000,45,8.1,14,3,4,0,4,12,8,2.16,8.28
156,横,16,加賀　繁,7.88,9,0,0,0,3,.000,37,8.0,11,2,3,0,6,7,7,1.75,6.00
157,横,21,岡島　秀樹,8.59,10,0,2,0,2,.000,35,7.1,6,1,8,0,7,7,7,1.91,6.26
158,横,62,萬谷　康平,1.50,4,1,0,0,0,1.000,26,6.0,6,0,2,0,4,2,1,1.33,2.79
159,横,00,東野　峻,6.75,3,0,0,0,0,.000,20,4.0,4,0,4,0,0,3,3,2.00,6.12
160,横,42,ビロウ,33.75,1,0,1,0,0,.000,11,1.1,2,0,5,0,0,5,5,5.25,14.37
161,横,67,加賀美　希昇,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
162,横,48,山下　峻,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
163,横,58,大田　阿斗里,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
164,横,13,柿田　裕太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
165,横,30,飯塚　悟史,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
166,横,45,土屋　健二,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
167,ヤ,29,小川　泰弘,3.11,27,11,8,0,0,.579,700,168.0,152,18,48,4,128,66,58,1.19,3.92
168,ヤ,19,石川　雅規,3.31,25,13,9,0,0,.591,598,146.2,150,16,28,3,90,59,54,1.21,3.92
169,ヤ,12,石山　泰稚,3.64,21,5,5,0,0,.500,479,111.1,118,7,38,2,78,50,45,1.40,3.59
170,ヤ,66,新垣　渚,4.64,15,3,10,0,0,.231,367,83.1,89,13,36,2,70,48,43,1.50,4.80
