,Team,背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
160,横,40,飛雄馬,.224,59,135,116,26,1,9,1,3,1,23,15,2,.345,.250,.595,2.53,2.42
161,横,37,桑原　将志,.184,60,116,103,19,1,5,1,5,0,26,8,1,.272,.222,.494,1.53,1.61
162,横,26,井手　正太郎,.255,40,102,98,25,4,13,0,3,0,28,0,0,.449,.275,.723,4.51,4.52
163,横,61,松本　啓二朗,.274,51,85,73,20,1,7,0,7,0,19,3,2,.384,.329,.713,3.99,4.12
164,横,50,下園　辰哉,.284,53,84,74,21,1,8,0,8,0,14,2,2,.378,.354,.732,4.68,4.50
165,横,55,後藤　武敏　Ｇ．,.206,70,76,68,14,4,11,0,8,0,17,0,2,.441,.289,.731,4.05,4.11
166,横,36,柳田　殖生,.209,24,49,43,9,0,5,0,1,2,11,3,2,.256,.261,.517,1.53,1.52
167,横,23,内村　賢介,.179,28,46,39,7,0,1,2,2,0,9,5,0,.179,.220,.399,0.90,1.04
168,横,38,山下　幸輝,.238,23,43,42,10,0,2,0,0,0,12,1,0,.286,.238,.524,1.77,1.73
169,横,0,山崎　憲晴,.103,25,34,29,3,0,2,2,3,0,12,2,0,.138,.188,.325,0.52,0.71
170,横,8,多村　仁志,.143,4,8,7,1,0,0,0,1,0,1,0,0,.143,.250,.393,1.03,1.31
171,横,31,赤堀　大智,.000,1,1,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.92,-2.70
172,横,66,西森　将司,.000,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,-8.64
173,横,57,鶴岡　賢二郎,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
174,横,10,Ｙ．グリエル,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
